Au
    30        atoms
     1   atom types
  0.00  30.00      xlo xhi
  0.00  30.00      ylo yhi
  0.00  30.00      zlo zhi

Masses

1 197

Atoms

  1   1 24.51961 28.90040 27.71326
  2   1 22.40802 22.94473 24.72114
  3   1 25.97060 21.98114 28.29142
  4   1 26.69207 28.30407 23.79881
  5   1 22.38331 28.69506 24.38336
  6   1 25.22277 28.17773 21.84971
  7   1 23.76791 23.86867 21.83944
  8   1 23.67609 25.05180 22.07626
  9   1 27.42414 21.81260 22.88432
 10   1 23.35828 29.11374 26.22573
 11   1 28.72495 26.89139 26.80084
 12   1 26.86399 22.58771 24.12550
 13   1 26.14382 22.55283 25.12696
 14   1 22.78567 24.19239 25.22168
 15   1 25.77829 26.74024 27.42718
 16   1 27.67527 28.99461 25.80034
 17   1 24.82918 23.81379 22.47823
 18   1 22.80962 27.62272 22.05533
 19   1 26.42311 24.21106 22.61266
 20   1 25.58134 26.17447 24.47812
 21   1 28.58367 26.13231 26.06078
 22   1 26.97847 25.83794 26.56697
 23   1 23.03434 23.32297 22.28633
 24   1 22.25083 29.09496 25.88592
 25   1 27.69911 23.35653 22.42780
 26   1 21.66834 23.70429 27.79845
 27   1 26.51410 24.19574 28.07084
 28   1 28.49316 22.47649 27.60589
 29   1 25.46622 22.76392 22.81312
 30   1 28.00224 27.17646 23.95622

